PPN;EPN;Jahr
535854951;223723614;1685
535723903;1226273432;1685
535700326;;1685
535481861;268835500;1685
535407211;934672180;1685
53540266X;697509443;1685
535386265;178730300;1685
535380933;1226627439;1685
535376227;1178155315;1685
535376022;1178152677;1685
535372965;1198988282;1685
99027348;;1685
99020483;;1685
98989014;;1685
98988476;12365100X;1685
92312462;812330358;1685
92275184;124765815;1685
92253903;;1685
92244181;124113451;1685
92238165;227383516;1685
92230237;;1685
92198910;1164945777;1685
92178545;;1685
92112226;;1685
92039901;;1685
92032214;223728330;1685
91975484;;1685
91968860;816242399;1685
91957052;;1685
91878942;;1685
91859042;947026088;1685
91858976;;1685
91858887;;1685
91797446;;1685
1108032451;;1684
1106348109;;1684
1046453874;1840426403;1684
1046434349;1840366435;1684
1046428942;184035769X;1684
104642307X;1840346035;1684
1041326068;1840329262;1684
1029120552;1797813935;1684
1029120536;179781382X;1684
102912051X;1797813765;1684
821756303;;1684
537321896;;1684
537313621;;1684
537291237;;1684
537291172;;1684
537250611;;1684
537250220;122625148X;1684
537209360;;1684
537164871;117513208X;1684
537050175;124672175;1684
536784078;;1684
53678406X;;1684
536734135;223327484;1684
536719101;1175159212;1684
536655510;;1684
536655502;;1684
536655499;;1684
536655472;;1684
536593922;;1684
536548927;;1684
536537119;1500341282;1684
53649598X;122899636;1684
536495653;;1684
536450064;;1684
536299668;;1684
536177171;1500340952;1684
536135223;13220200X;1684
536108234;;1684
53590441X;1276304323;1684
53587572X;;1684
535767153;;1684
535732929;;1684
535694652;;1684
535618654;;1684
535618638;;1684
535479441;;1684
535408226;938147609;1684
535400152;229934293;1684
535400071;229835066;1684
535390777;235747777;1684
535390726;1178448428;1684
535388152;216282799;1684
535375972;1178149854;1684
535375964;1178149048;1684
535375751;22983308X;1684
99018985;;1684
92292186;;1684
92289215;;1684
92279740;122946138;1684
92261825;216731208;1684
09222976X;;1684
92213715;;1684
92191150;;1684
92175759;122687353;1684
09215333X;12756022X;1684
92110959;229956408;1684
92098126;;1684
92078729;;1684
92072453;;1684
92022936;;1684
91992583;;1684
91956900;;1684
91852250;1238797881;1684
885484568;;1683
780573153;;1683
614454603;;1683
588848115;;1683
561438773;;1683
537253491;;1683
537198385;;1683
537194290;;1683
537194231;;1683
537194193;;1683
53713641X;124028705;1683
537076654;;1683
537062203;;1683
537048936;;1683
536929084;;1683
536924767;;1683
536761116;;1683
536737088;696636328;1683
536735999;141773073;1683
536701032;122900596;1683
536694192;888811829;1683
536634165;;1683
536238944;;1683
536233691;;1683
536168105;122786483;1683
536146896;502746424;1683
53611496X;123809398;1683
535899769;1226195105;1683
535829043;;1683
535728077;717459500;1683
535717016;;1683
535710771;;1683
535710763;;1683
535710720;;1683
535710658;;1683
535710615;;1683
535706227;1175136786;1683
535666853;142179647;1683
535659997;;1683
535640994;;1683
535545452;127149546;1683
53554541X;;1683
535545398;127147861;1683
535545363;;1683
535545339;127146776;1683
535517599;;1683
535399820;229719244;1683
535399812;229716660;1683
535399790;229713661;1683
535399774;22970946X;1683
53539974X;229707785;1683
535375948;1178148459;1683
535375921;944426344;1683
535375913;1178147339;1683
535375840;1178145328;1683
535372574;38263327X;1683
09897596X;;1683
92304923;1178437574;1683
92275621;216474337;1683
92269990;127576622;1683
92218768;;1683
92190863;;1683
92190855;;1683
92178685;;1683
92178553;;1683
92171826;176549471;1683
92128181;697580695;1683
92045642;;1683
92029744;223731870;1683
91994926;;1683
91988683;123809495;1683
91984092;;1683
91956250;;1683
91940907;;1683
91797454;;1683
1036357902;;1682
1031123911;1810449790;1682
74644480X;;1682
638651638;;1682
630138028;;1682
56143400X;;1682
537299475;225693992;1682
537299076;;1682
537217657;;1682
537210067;;1682
53719892X;;1682
537194304;;1682
537130497;12279317X;1682
53699241X;;1682
536924376;;1682
536924309;;1682
536924252;;1682
53692421X;;1682
536924163;;1682
536923981;;1682
536923965;;1682
536923949;;1682
536923884;;1682
536923744;;1682
536923582;;1682
536738564;227304241;1682
536737460;141742526;1682
536736715;216949742;1682
536735980;270346848;1682
536733392;1178137228;1682
536641897;;1682
536288224;;1682
536287791;225595400;1682
536236798;;1682
536079609;1175160849;1682
536073783;123616417;1682
535907680;;1682
535895216;1206365935;1682
53589001X;1178143155;1682
535888104;229926312;1682
535864094;122900707;1682
535856105;;1682
535787081;123749913;1682
535616678;;1682
535517580;;1682
53542924X;696518627;1682
535416857;696683768;1682
535385285;124655556;1682
535385250;1175127582;1682
535385021;223008621;1682
53538467X;216868564;1682
535381328;142140724;1682
535379870;1186802367;1682
92330266;1277790310;1682
92317162;344589633;1682
92292127;;1682
92290515;;1682
92280625;124321518;1682
92256120;;1682
92239846;124027873;1682
92232701;123563844;1682
09221455X;344557162;1682
92212808;223686506;1682
92157246;;1682
92153291;;1682
92137024;123235847;1682
92124070;123235839;1682
92109810;225696118;1682
92035051;;1682
91984718;1202071066;1682
91984424;;1682
91959756;;1682
91791944;;1682
1484933990;;1681
786014520;;1681
770198589;;1681
63865162X;;1681
575168633;;1681
537334580;;1681
537198512;;1681
537087648;;1681
537050337;;1681
537050183;;1681
537044078;;1681
537030646;;1681
537009787;;1681
536992053;;1681
536928622;;1681
536923558;;1681
536923485;;1681
536923418;;1681
53692340X;;1681
536923345;;1681
536923310;1825725500;1681
536923256;;1681
536833435;123916852;1681
536770298;;1681
536733376;1178135187;1681
536733368;224634593;1681
536704961;260540358;1681
536701156;123929482;1681
536699917;142141895;1681
536693676;882749064;1681
536669384;;1681
536669341;;1681
53662822X;;1681
536479100;;1681
536449570;;1681
536288232;;1681
53622398X;;1681
536100942;;1681
536049327;;1681
535982089;;1681
53591041X;696323389;1681
53589323X;947113789;1681
535889348;223423009;1681
535888198;;1681
535848013;;1681
53577754X;124942997;1681
535748787;122975944;1681
53569945X;;1681
535698585;;1681
535429223;;1681
535429215;;1681
535429207;;1681
535429193;;1681
535429169;;1681
535429142;;1681
535429134;;1681
535429118;;1681
53542910X;;1681
535429096;;1681
535410042;941046222;1681
535405200;1220350214;1681
535385196;;1681
53538517X;124655521;1681
535372973;1198989890;1681
99003112;123809452;1681
98986643;12353576X;1681
98966111;697751325;1681
92313116;142141879;1681
92303161;123166810;1681
92303056;;1681
92279600;947827617;1681
92253024;;1681
92232019;124274684;1681
09222847X;;1681
92214460;175274819;1681
92212778;123235898;1681
92193447;;1681
92185746;12323588X;1681
92149065;123748305;1681
92124089;1230258590;1681
92069479;;1681
92061303;;1681
91997240;;1681
91992052;;1681
91969271;22568814X;1681
91928508;;1681
91917085;123748291;1681
91851785;260539082;1681
1048674894;1847810322;1680
770197965;;1680
770196977;;1680
770196136;;1680
770194745;;1680
770192629;;1680
770188656;;1680
638651611;;1680
585640041;;1680
585639833;;1680
549922504;;1680
537303758;223630195;1680
537243321;;1680
537186182;;1680
537005285;;1680
536979472;;1680
536973741;;1680
536954771;;1680
536924902;;1680
53692323X;;1680
536923191;;1680
536923175;;1680
536923124;;1680
536923086;;1680
536918783;;1680
536853746;;1680
536833648;;1680
536737266;1192613821;1680
536715653;;1680
536705445;1190451026;1680
536705283;1190447843;1680
536697221;1110657137;1680
536288933;;1680
536203652;;1680
536156662;124654894;1680
536131643;;1680
53606265X;;1680
535892470;941039994;1680
535889836;223624217;1680
53588978X;124655211;1680
535882084;721585787;1680
535882068;124655033;1680
535881940;124655025;1680
535881932;124655017;1680
535881916;124655009;1680
535881908;124654991;1680
535881851;124654983;1680
535881843;124654975;1680
535881835;124654967;1680
535881770;124654959;1680
535881630;124654940;1680
535881622;124654932;1680
535881525;124654924;1680
535881436;124654916;1680
535881304;124654908;1680
535880804;124654886;1680
535880707;;1680
53584185X;869694901;1680
535809832;721581374;1680
535798113;;1680
535787022;124384889;1680
535755155;24764272X;1680
535717970;;1680
535699468;;1680
535606877;;1680
535567871;;1680
535520735;1238296785;1680
535520727;123811341;1680
535428995;;1680
53542891X;;1680
535428901;;1680
535414412;;1680
535413181;;1680
535387571;1199002585;1680
535380445;122654830X;1680
535380437;1226546471;1680
535377576;141786477;1680
535372779;1219450170;1680
98965646;1198993383;1680
92289436;;1680
92288766;;1680
92280390;22373294X;1680
92244068;934670501;1680
92233899;24735838X;1680
92197221;123165121;1680
92153321;;1680
