PPN;EPN;Jahr;VD
567327361;;1589;
567303128;;1589;
567277712;136227708;1589;
567232093;125045883;1589;
567223396;;1589;
567218961;;1589;
567208761;;1589;
567203883;;1589;
567189295;;1589;
56718885X;;1589;
567180972;;1589;
784858659;;1588;
784855005;;1588;
784846146;;1588;
610001485;;1588;
568223616;;1588;
568219937;;1588;
568214463;;1588;
568213637;;1588;
568187091;;1588;
568095685;287318605;1588;
568095685;287318613;1588;
568068645;;1588;
568063473;;1588;
56803483X;;1588;
568029925;;1588;
568027841;;1588;
568027248;123250080;1588;
568027248;626412927;1588;
567997987;;1588;
567977811;124589979;1588;
567977803;124589960;1588;
567970442;;1588;
567970345;123491037;1588;
567970345;123491045;1588;
567970345;123491053;1588;
567970345;1242944826;1588;
567970140;123489911;1588;
567970140;123489903;1588;
567970140;12348992X;1588;
567963624;;1588;
567943542;;1588;
567941191;;1588;
567929701;;1588;
567896927;;1588;
567886743;;1588;
56787527X;;1588;
567867722;;1588;
567864480;;1588;
567805794;137319231;1588;
567805794;13731924X;1588;
567805794;137319258;1588;
567805794;150928734;1588;
567743985;;1588;
567743217;;1588;
56769884X;;1588;
567694550;;1588;
567641511;;1588;
567637182;;1588;
567608182;;1588;
567594033;;1588;
567594025;124589995;1588;
567592146;;1588;
567582140;;1588;
567570053;;1588;
567559211;;1588;
567545725;;1588;
567518272;124788874;1588;
567512517;124589987;1588;
567454916;123084512;1588;
567454916;123084520;1588;
567402851;;1588;
567366472;124590098;1588;
56733760X;124589952;1588;
567337294;;1588;
56733600X;;1588;
567324095;;1588;
567257223;;1588;
567205916;124240313;1588;
791527204;;1587;
728624745;;1587;
728623048;;1587;
728620677;;1587;
728617218;;1587;
610003992;;1587;
568216598;;1587;
568212932;;1587;
568199065;;1587;
568188756;;1587;
56818663X;;1587;
568165861;;1587;
568116925;;1587;
568113721;;1587;
568106954;;1587;
568087011;;1587;
568067452;;1587;
56805542X;;1587;
568055276;;1587;
568034791;;1587;
568002350;;1587;
567991946;123286425;1587;
567991946;123286417;1587;
567991784;;1587;
56799175X;;1587;
567982637;;1587;
567977900;124590071;1587;
567977900;147762030;1587;
567977854;124706681;1587;
567977854;124706673;1587;
567977854;12470669X;1587;
567970132;123489881;1587;
567970132;12348989X;1587;
567969916;;1587;
567969894;;1587;
567946649;123580889;1587;
567946649;123580897;1587;
567941442;;1587;
567899322;;1587;
567895785;;1587;
567886786;;1587;
567869806;124361951;1587;
567869806;12436196X;1587;
567867706;;1587;
567787990;;1587;
567748561;;1587;
567745287;;1587;
567694178;;1587;
567666670;;1587;
567665097;;1587;
567658791;;1587;
567658627;56837178X;1587;
567634116;;1587;
567628388;;1587;
567619907;;1587;
567615286;136277152;1587;
567615286;136277160;1587;
567597032;;1587;
567588513;;1587;
567586669;;1587;
567582744;;1587;
567582620;;1587;
567572870;;1587;
567548201;;1587;
567539393;;1587;
567522237;;1587;
567472205;;1587;
567456196;;1587;
567434907;;1587;
567421147;;1587;
567372782;136189512;1587;
567338134;;1587;
567333671;;1587;
56733340X;124580513;1587;
56733340X;124580505;1587;
56733340X;147827310;1587;
567329003;;1587;
567327752;12360186X;1587;
567326012;;1587;
567312658;;1587;
567288846;124230016;1587;
567255719;;1587;
567246752;;1587;
56723102X;;1587;
567224538;;1587;
791461262;;1586;
78485033X;;1586;
