PPN;EPN;VD;Jahr
1407296019;;;1752
1407292315;;;1752
1407290290;;;1752
1407287648;;;1752
1407285858;;;1752
140728469X;;;1752
1407283588;;;1752
1336570105;;;1752
1132338387;;;1752
1124677151;;;1752
1118750004;;;1752
1104360683;;;1752
1102398209;;;1752
1094563587;;;1752
1089463669;;;1752
1087935032;;;1752
1087934974;;;1752
1012563871;;;1752
1012549577;;;1752
1012511138;;;1752
1010738607;;;1752
1009362151;;;1752
1009362143;;;1752
87202301X;;;1752
866878998;;;1752
848397525;;;1752
848394798;;;1752
832177326;;;1752
820558974;;;1752
820556165;;;1752
820553344;;;1752
820549266;;;1752
820512028;;;1752
820448699;;;1752
820438413;;;1752
820234508;;;1752
77490349X;;;1752
732306337;;;1752
732269083;;;1752
732261376;;;1752
683729969;;;1752
683729950;;;1752
683729942;;;1752
683729934;;;1752
683729926;;;1752
683729918;;;1752
68372990X;;;1752
683729896;;;1752
683693824;;;1752
683676016;;;1752
683610023;;;1752
683570595;;;1752
64162395X;258700467;;1752
615837522;1108395708;;1752
588766631;916290506;;1752
568314255;916381870;;1752
50100520X;;;1752
454357443;;;1752
385497369;;;1752
385497318;;;1752
339105747;1110568908;;1752
335124941;916448843;;1752
312736649;1114143723;;1752
266163122;;;1752
224912704;1219626759;;1752
224729381;1206470607;;1752
222480289;225553805;;1752
193739895;;;1752
184393493;;;1752
18413644X;;;1752
184136393;;;1752
18413613X;;;1752
181818949;192552929;;1752
181812460;192544055;;1752
181812444;192543881;;1752
181812428;192543652;;1752
181075415;142177423;;1752
179946587;;;1752
151915733;125102828;;1752
15169205X;124805558;;1752
151625093;124712444;;1752
151483221;124551696;;1752
150606184;123546761;;1752
150192193;123058058;;1752
15018090X;123044677;;1752
150152140;122998065;;1752
14757188X;;;1752
147571812;;;1752
147548535;129615781;;1752
144393360;;;1752
142849871;;;1752
140799486;;;1752
140786759;;;1752
138016771;;;1752
135979064;;;1752
1489364447;;;1751
1489335102;;;1751
1489117822;;;1751
1134433883;;;1751
112891963X;;;1751
1119633613;;;1751
1107078555;;;1751
1105326551;;;1751
1101250976;;;1751
1101064072;;;1751
1096647958;;;1751
1092837981;;;1751
1090305583;;;1751
1089880855;;;1751
1087451086;;;1751
1012550680;;;1751
1012509621;;;1751
1005186162;;;1751
890183414;;;1751
878855947;;;1751
866673806;;;1751
848385810;;;1751
848385802;;;1751
848359658;;;1751
833678671;;;1751
77628861X;;;1751
775033812;;;1751
774964030;;;1751
774932317;;;1751
774913932;;;1751
732336279;;;1751
732280214;;;1751
732265843;;;1751
688546617;;;1751
683684566;;;1751
68366106X;;;1751
683613472;1499585667;;1751
683586475;;;1751
683567039;;;1751
614340896;;;1751
529895382;82134126X;;1751
504555561;;;1751
454341059;;;1751
427770017;;;1751
396676294;;;1751
385513437;82739862X;;1751
38549727X;;;1751
333755642;;;1751
332536572;845164066;;1751
318819562;123337062;;1751
317376551;;;1751
311241395;580812243;;1751
311241301;580812189;;1751
304879622;;;1751
268923477;;;1751
267375506;;;1751
246187581;;;1751
246126256;;;1751
245153101;;;1751
233375376;1499586094;;1751
232194777;249163926;;1751
232171173;249090929;;1751
231012527;;;1751
224912623;;;1751
224670506;812206045;;1751
216842263;217821081;;1751
21492078X;855021144;;1751
214918904;12484216X;;1751
211222496;234095423;;1751
181808854;;;1751
181780119;;;1751
181616467;;;1751
151915830;125102925;;1751
151883432;125045816;;1751
151729247;124845525;;1751
151613834;12469926X;;1751
15133451X;124380360;;1751
151093261;120864856X;;1751
151093253;124098428;;1751
151048568;124049370;;1751
150877137;123852226;;1751
150676735;123631939;;1751
150600194;123540062;;1751
150344570;123234816;;1751
150344562;123234808;;1751
15015206X;122997956;;1751
14775223X;;;1751
14718620X;;;1751
146562739;;;1751
140884432;874073936;;1751
140800565;;;1751
136912958;;;1751
135977827;;;1751
135515165;247033014;;1751
133546233;;;1751
130738859;333890027;;1751
13028906X;;;1751
058271503;1238490913;;1751
058211810;1131141164;;1751
1489687629;;;1750
1489023844;;;1750
1147728593;;;1750
1121650503;;;1750
112135078X;;;1750
1109292228;;;1750
1105308251;;;1750
1092896708;;;1750
109131358X;;;1750
1020757833;;;1750
1012592456;;;1750
1012564975;;;1750
101255578X;;;1750
1012537714;;;1750
888675704;;;1750
888074921;;;1750
876181450;125102690;;1750
848361245;;;1750
833721720;;;1750
776415212;;;1750
77632232X;;;1750
77505710X;;;1750
774975792;;;1750
77490786X;;;1750
687563216;;;1750
683721895;;;1750
683625624;;;1750
683613421;1499585365;;1750
683581864;;;1750
683577859;;;1750
607458941;;;1750
595705499;928232247;;1750
593048342;92396908X;;1750
582931711;896643786;;1750
575027541;;;1750
569323576;878515917;;1750
557584884;85789014X;;1750
556411315;855024674;;1750
480452148;;;1750
454190832;;;1750
429230060;;;1750
349609403;830431586;;1750
347523013;847209822;;1750
335162487;;;1750
332600688;1237317975;;1750
32448402X;;;1750
318332779;888750609;;1750
309060435;888756577;;1750
267224494;1238143024;;1750
267223781;117358398X;;1750
253483883;1244093408;;1750
242412726;;;1750
238694534;269701850;;1750
232191581;24914865X;;1750
227830229;;;1750
191847100;172571804;;1750
18968500X;;;1750
181815524;;;1750
18065733X;;;1750
151915822;125102917;;1750
151915814;125102909;;1750
151915806;125102895;;1750
151697752;124812090;;1750
